CODE,day,t,dn,dc,cc,BS,DP,DN,SS,SB
CODE_1.SZ,20241230,9:15:02:660,209988,C,0, ,0,1100,20093,0
CODE_1.SZ,20241230,9:16:04:030,277379,C,0, ,0,500,0,272437
CODE_1.SZ,20241230,9:16:16:860,280125,C,0, ,0,45700,0,278458
CODE_1.SZ,20241230,9:17:54:010,304098,C,0, ,0,1000,301239,0
CODE_1.SZ,20241230,9:18:04:890,307364,C,0, ,0,3500,298290,0
CODE_1.SZ,20241230,9:18:06:620,307812,C,0, ,0,5500,289624,0
CODE_1.SZ,20241230,9:18:51:220,321287,C,0, ,0,5000,118722,0
CODE_1.SZ,20241230,9:18:55:260,322487,C,0, ,0,1500,4807,0
CODE_1.SZ,20241230,9:19:06:160,326016,C,0, ,0,197100,0,305481
CODE_1.SZ,20241230,9:19:28:630,333474,C,0, ,0,20000,0,320465
CODE_1.SZ,20241230,9:25:00:000,528949,0,0,B,4.6,100,165206,371602
CODE_1.SZ,20241230,9:25:00:000,528950,0,0,B,4.6,900,284225,371602
CODE_1.SZ,20241230,9:25:00:000,528951,0,0,B,4.6,3800,284225,458771
CODE_1.SZ,20241230,9:25:00:000,528952,0,0,B,4.6,2000,284225,400839
CODE_1.SZ,20241230,9:25:00:000,528953,0,0,S,4.6,100,284225,47338
CODE_1.SZ,20241230,9:25:00:000,528954,0,0,B,4.6,2900,284225,473043
CODE_1.SZ,20241230,9:25:00:000,528955,0,0,S,4.6,100,284225,24300
CODE_1.SZ,20241230,9:25:00:000,528956,0,0,S,4.6,300,284225,48743
CODE_1.SZ,20241230,9:25:00:000,528957,0,0,S,4.6,400,297292,48743
CODE_1.SZ,20241230,9:25:00:000,528958,0,0,S,4.6,1500,358762,48743
CODE_1.SZ,20241230,9:25:00:000,528959,0,0,S,4.6,1000,394134,48743
CODE_1.SZ,20241230,9:25:00:000,528960,0,0,S,4.6,100,394134,147046
CODE_1.SZ,20241230,9:25:00:000,528961,0,0,S,4.6,100,394134,151970
CODE_1.SZ,20241230,9:25:00:000,528962,0,0,S,4.6,100,394134,228290
CODE_1.SZ,20241230,9:25:00:000,528963,0,0,S,4.6,1800,394134,231071
CODE_1.SZ,20241230,9:25:00:000,528964,0,0,S,4.6,1200,492517,231071
CODE_1.SZ,20241230,9:25:00:000,528965,0,0,S,4.6,600,492517,241347
CODE_1.SZ,20241230,9:25:00:000,528966,0,0,S,4.6,100,492517,86047
CODE_1.SZ,20241230,9:25:00:000,528967,0,0,S,4.6,1700,492517,349815
CODE_1.SZ,20241230,9:25:00:000,528968,0,0,S,4.6,500,437779,349815
CODE_1.SZ,20241230,9:25:00:000,528969,0,0,S,4.6,2800,436417,349815
CODE_1.SZ,20241230,9:25:00:000,528970,0,0,S,4.6,400,436417,409274
CODE_1.SZ,20241230,9:25:00:000,528971,0,0,S,4.6,900,468428,409274
CODE_1.SZ,20241230,9:25:00:000,528972,0,0,S,4.6,2100,451224,409274
CODE_1.SZ,20241230,9:25:00:000,528973,0,0,S,4.6,500,451224,192840
CODE_1.SZ,20241230,9:25:00:000,528974,0,0,S,4.6,400,451224,373430
CODE_1.SZ,20241230,9:25:00:000,528975,0,0,S,4.6,600,462053,373430
CODE_1.SZ,20241230,9:25:00:000,528976,0,0,S,4.6,4400,462053,391607
CODE_1.SZ,20241230,9:25:00:000,528977,0,0,S,4.6,1000,430246,391607
CODE_1.SZ,20241230,9:25:00:000,528978,0,0,B,4.6,4600,221780,391607
CODE_1.SZ,20241230,9:25:00:000,528979,0,0,B,4.6,2000,221780,430167
CODE_1.SZ,20241230,9:25:00:000,528980,0,0,B,4.6,7600,221780,451308
CODE_1.SZ,20241230,9:25:00:000,528981,0,0,B,4.6,800,221780,468076
CODE_1.SZ,20241230,9:25:00:000,528982,0,0,S,4.6,1000,221780,20954
CODE_1.SZ,20241230,9:25:00:000,528983,0,0,S,4.6,3300,221780,41213
CODE_1.SZ,20241230,9:25:00:000,528984,0,0,S,4.6,14100,221780,85041
CODE_1.SZ,20241230,9:25:00:000,528985,0,0,S,4.6,15900,391080,85041
CODE_1.SZ,20241230,9:25:00:000,528986,0,0,S,4.6,100,391080,122634
CODE_1.SZ,20241230,9:25:00:000,528987,0,0,S,4.6,1000,391080,202037
CODE_1.SZ,20241230,9:25:00:000,528988,0,0,S,4.6,9000,391080,204912
CODE_1.SZ,20241230,9:25:00:000,528989,0,0,S,4.6,11000,440977,204912
CODE_1.SZ,20241230,9:25:00:000,528990,0,0,S,4.6,500,440977,216107
CODE_1.SZ,20241230,9:25:00:000,528991,0,0,S,4.6,100,440977,284284
CODE_1.SZ,20241230,9:25:00:000,528992,0,0,S,4.6,400,440977,284327
CODE_1.SZ,20241230,9:25:00:000,528993,0,0,S,4.6,300,440977,300622
CODE_1.SZ,20241230,9:25:00:000,528994,0,0,S,4.6,2000,440977,302933
CODE_1.SZ,20241230,9:25:00:000,528995,0,0,S,4.6,4000,440977,305754
CODE_1.SZ,20241230,9:25:00:000,528996,0,0,S,4.6,1700,440977,306859
CODE_1.SZ,20241230,9:25:00:000,528997,0,0,S,4.6,300,495250,306859
CODE_1.SZ,20241230,9:25:00:000,528998,0,0,S,4.6,2500,495250,312581
CODE_1.SZ,20241230,9:25:00:000,528999,0,0,S,4.6,500,495250,332497
CODE_1.SZ,20241230,9:25:00:000,529000,0,0,S,4.6,1000,495250,339624
CODE_1.SZ,20241230,9:25:00:000,529001,0,0,S,4.6,12500,495250,341168
CODE_1.SZ,20241230,9:25:00:000,529002,0,0,B,4.6,5000,244656,341168
CODE_1.SZ,20241230,9:25:00:000,529003,0,0,S,4.6,2000,361502,341168
